,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
0,,,15500,15500,15500.0, 60 months,15.02,368.91,C,C3,CT Technologist,1 year,MORTGAGE,73580.0,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,685xx,NE,33.91,0,Dec-1999,0,,,15,0,17023,60.2,39,f,15148.01,15148.01,718.42,718.42,351.99,366.43,0.0,0.0,0.0,Feb-2019,368.91,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0.0,284960.0,1.0,8.0,1.0,7.0,11.0,57702.0,71.0,0.0,0.0,9981.0,68.0,28300.0,1.0,11.0,2.0,8.0,18997.0,6331.0,71.6,0,0,144.0,228.0,37.0,1.0,5.0,37.0,,3.0,,0.0,3.0,5.0,3.0,5.0,23.0,6.0,11.0,5.0,15.0,0.0,0.0,0.0,2.0,100.0,33.3,0,0,319978.0,74725.0,22300.0,81443.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
1,,,10000,10000,10000.0, 36 months,11.8,331.19,B,B4,Optical Manager,3 years,RENT,74622.0,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,330xx,FL,16.13,0,Aug-2007,0,,45.0,6,1,12958,95.3,8,w,9532.0,9532.0,645.99,645.99,468.0,177.99,0.0,0.0,0.0,Feb-2019,331.19,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0.0,32181.0,0.0,2.0,0.0,1.0,19.0,19223.0,63.0,0.0,3.0,3848.0,73.0,13600.0,0.0,0.0,0.0,4.0,5364.0,642.0,95.3,0,0,136.0,27.0,16.0,16.0,0.0,16.0,,14.0,,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,100.0,100.0,1,0,44001.0,32181.0,13600.0,30401.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
2,,,10000,10000,10000.0, 36 months,16.91,356.08,C,C5,,< 1 year,MORTGAGE,100000.0,Not Verified,Dec-2018,Current,n,,,other,Other,480xx,MI,14.37,0,Nov-1994,1,41.0,,20,0,10653,27.2,47,w,9566.64,9566.64,693.37,693.37,433.36,260.01,0.0,0.0,0.0,Feb-2019,356.08,Mar-2019,Feb-2019,0,41.0,1,Individual,,,,0,0.0,82343.0,2.0,2.0,0.0,2.0,13.0,71690.0,73.0,3.0,7.0,2296.0,43.0,39100.0,1.0,0.0,3.0,9.0,4117.0,9960.0,33.6,0,0,104.0,289.0,1.0,1.0,0.0,4.0,41.0,1.0,41.0,6.0,6.0,10.0,8.0,16.0,11.0,18.0,36.0,10.0,20.0,0.0,0.0,0.0,3.0,87.0,37.5,0,0,109042.0,82343.0,15000.0,69942.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
3,,,15000,15000,15000.0, 36 months,7.02,463.3,A,A2,Nurse RN,3 years,MORTGAGE,60000.0,Not Verified,Dec-2018,Current,n,,,car,Car financing,322xx,FL,10.18,0,May-2000,0,,,14,0,590,2.6,24,w,14246.7,14246.7,911.98,911.98,753.3,158.68,0.0,0.0,0.0,Feb-2019,463.3,Mar-2019,Feb-2019,0,,1,Joint App,120000.0,28.8,Not Verified,0,0.0,62762.0,1.0,9.0,0.0,0.0,32.0,26751.0,76.0,1.0,4.0,589.0,47.0,22300.0,0.0,6.0,0.0,4.0,4483.0,17710.0,3.2,0,0,117.0,223.0,6.0,6.0,3.0,6.0,,,,0.0,2.0,2.0,3.0,5.0,11.0,4.0,10.0,2.0,14.0,0.0,0.0,0.0,1.0,100.0,0.0,0,0,102626.0,27341.0,18300.0,35326.0,61647.0,Nov-2000,2.0,5.0,16.0,78.0,2.0,18.0,0.0,0.0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
4,,,3000,3000,2750.0, 36 months,10.33,97.27,B,B1,Credit Specialist,7 years,MORTGAGE,102000.0,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,601xx,IL,38.11,0,Feb-1999,1,,,26,0,10093,11.4,41,f,2856.49,2618.45,190.24,174.39,143.51,46.73,0.0,0.0,0.0,Feb-2019,97.27,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0.0,368373.0,1.0,8.0,1.0,5.0,3.0,55971.0,55.0,0.0,0.0,8782.0,35.0,88400.0,2.0,0.0,1.0,5.0,14735.0,63976.0,12.7,0,0,70.0,238.0,28.0,3.0,3.0,34.0,,3.0,,0.0,2.0,5.0,10.0,16.0,13.0,16.0,24.0,5.0,26.0,0.0,0.0,0.0,1.0,100.0,10.0,0,0,552941.0,66064.0,73300.0,101541.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
5,,,30000,30000,30000.0, 36 months,8.19,942.73,A,A4,"Manager, IT Security",8 years,MORTGAGE,112000.0,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,553xx,MN,27.69,0,Apr-1993,0,,,19,0,61783,41.1,41,w,28519.0,28519.0,1851.34,1851.34,1481.0,370.34,0.0,0.0,0.0,Feb-2019,942.73,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0.0,212963.0,1.0,5.0,0.0,0.0,26.0,51180.0,59.0,0.0,0.0,16460.0,46.0,150300.0,0.0,11.0,1.0,1.0,11209.0,77937.0,39.6,0,0,197.0,308.0,29.0,2.0,4.0,29.0,,3.0,,0.0,8.0,10.0,9.0,10.0,16.0,13.0,21.0,10.0,19.0,0.0,0.0,0.0,1.0,100.0,11.1,0,0,336203.0,112963.0,129000.0,85903.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
6,,,12000,12000,12000.0, 36 months,8.19,377.09,A,A4,Owner,10+ years,MORTGAGE,75000.0,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,490xx,MI,13.54,3,Aug-2006,2,12.0,,10,0,10184,67.9,21,w,11407.61,11407.61,740.53,740.53,592.39,148.14,0.0,0.0,0.0,Feb-2019,377.09,Mar-2019,Feb-2019,0,41.0,1,Individual,,,,0,1889.0,24539.0,1.0,1.0,0.0,0.0,52.0,14355.0,,1.0,1.0,3196.0,68.0,15000.0,0.0,1.0,2.0,1.0,2454.0,3712.0,70.3,0,0,148.0,139.0,1.0,1.0,0.0,55.0,12.0,1.0,12.0,0.0,5.0,7.0,6.0,7.0,5.0,9.0,16.0,7.0,10.0,0.0,0.0,0.0,1.0,76.2,33.3,0,0,50609.0,24539.0,12500.0,35609.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
7,,,22000,22000,22000.0, 60 months,14.47,517.28,C,C2,plant manager,10+ years,MORTGAGE,86000.0,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,458xx,OH,11.29,0,Oct-1992,1,24.0,,10,0,25292,92.0,17,w,21492.96,21492.96,1131.83,1131.83,507.04,624.79,0.0,0.0,0.0,Feb-2019,517.28,Mar-2019,Feb-2019,0,,1,Joint App,86000.0,13.71,,0,0.0,211146.0,0.0,0.0,0.0,0.0,126.0,0.0,,0.0,0.0,7082.0,92.0,27500.0,1.0,0.0,1.0,0.0,21115.0,611.0,96.5,0,0,126.0,314.0,37.0,37.0,2.0,38.0,24.0,6.0,24.0,1.0,6.0,9.0,6.0,8.0,2.0,9.0,13.0,9.0,10.0,0.0,0.0,0.0,0.0,70.6,100.0,0,0,237653.0,25292.0,17600.0,0.0,31270.0,Oct-1992,0.0,0.0,8.0,83.7,0.0,14.0,0.0,0.0,90.0,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
8,,,30000,30000,30000.0, 36 months,8.81,951.35,A,A5,VP Marketing,1 year,MORTGAGE,160000.0,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,325xx,FL,21.37,0,Oct-2003,1,,,15,0,28972,44.7,33,w,28532.43,28532.43,1888.02,1888.02,1467.57,420.45,0.0,0.0,0.0,Feb-2019,951.35,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0.0,494918.0,3.0,4.0,1.0,4.0,6.0,140111.0,75.0,2.0,2.0,12238.0,56.0,64800.0,0.0,2.0,7.0,7.0,32995.0,31028.0,48.3,0,0,147.0,182.0,6.0,3.0,4.0,6.0,,4.0,,0.0,4.0,4.0,6.0,10.0,12.0,9.0,16.0,4.0,15.0,0.0,0.0,0.0,4.0,100.0,0.0,0,0,564306.0,183109.0,60000.0,168838.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
9,,,6000,6000,5975.0, 36 months,8.81,190.27,A,A5,Aircraft Mechanic ,2 years,RENT,70000.0,Source Verified,Dec-2018,Current,n,,,other,Other,302xx,GA,14.76,0,Feb-2013,0,,,10,0,8000,77.7,13,f,5706.48,5682.7,383.48,381.88,293.52,89.96,0.0,0.0,0.0,Feb-2019,190.27,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0.0,34314.0,0.0,7.0,0.0,2.0,16.0,26314.0,70.0,1.0,1.0,4092.0,72.0,10300.0,3.0,0.0,2.0,3.0,3431.0,2300.0,77.7,0,0,70.0,68.0,10.0,10.0,2.0,10.0,,2.0,,0.0,3.0,3.0,3.0,3.0,8.0,3.0,3.0,3.0,10.0,0.0,0.0,0.0,1.0,100.0,66.7,0,0,47928.0,34314.0,10300.0,37628.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
